,_latitude,_longitude,arrival_of_the_freight_vehicle,number_of_operators,departure_of_the_freight_vehicle,number_of_available_trolleys,maximum_number_of_vehicles_in_the_traffic_jam,_record_id,_title,_server_updated_at,_updated_by,_geometry,plates,company_if_visible,visit_purpose,type_of_vehicle,refrigerated_truck,type_of_cargo,picture_of_the_parked_freight_vehicle,where_was_the_vehicle_parked,while_parked_was_the_engine_running,used_traffic_cone,vehicles_unloading_door,garage_blocking,accident,noise,traffic_congestion
0,19.05689338,-98.23348947,14:00,1,14:10,1,5.0,4408a234-9585-46fe-9b16-96c0faaf6db8,"73 Calle Almolonga
Puebla de Zaragoza PUE 72160
MX",2022-11-12 22:15:04 UTC,Salomon Abdala Perez,SRID=4326;POINT(-98.2334894708 19.0568933787),KB-7050-A,Ricolino,Delivery,Light truck or Van,no,"""Bakery (bread, cookies, cakes, etc.)""",https://web.fulcrumapp.com/photos/view?photos=aaca78a2-7a7f-4add-82c9-2168f1091faa,Street - next to the curbside,no,no,Side,yes,no,no,no
1,19.05684943,-98.2334839,13:50,2,14:10,1,5.0,673cd0e3-7290-4c4d-a57f-096d16b78141,"72 Calle Almolonga
Puebla de Zaragoza PUE 72160
MX",2022-11-12 20:41:39 UTC,Jorge Alberto Ostorga Flores,SRID=4326;POINT(-98.233483903 19.0568494313),XC8687A,Marinela,Delivery,Heavy duty truck,no,"""Bakery (bread, cookies, cakes, etc.)""",https://web.fulcrumapp.com/photos/view?photos=4db797db-3207-4f82-8945-a9441df2ea9c,Street - next to the curbside,no,no,Rear,no,no,no,no
2,19.0596775,-98.2339161,11:47,1,12:13,0,5.0,04e64464-3fbd-4ce1-99d8-5364e1567e8c,"4510 Vía Volkswagen
Heroica Puebla de Zaragoza Puebla 72180
Mexico",2022-11-12 18:02:57 UTC,Juan Carlos Bejarano Moreno,SRID=4326;POINT(-98.2339161 19.0596775),SM 20745,La fete,Delivery,Pick-up,yes,"""Bakery (bread, cookies, cakes, etc.)""","https://web.fulcrumapp.com/photos/view?photos=21438aa4-1f8a-476d-8cda-472e09fb8310,eb001ba0-2d3f-4c6d-87d0-c57dd8977272",Street - next to the curbside,no,no,Side,no,no,no,no
3,19.0626948,-98.2285674,11:45,1,11:53,2,5.0,d0a6568d-cf8f-48fd-ad3d-007e79f4ae6b,"4501A Avenida 2 Poniente
Heroica Puebla de Zaragoza Puebla 72070
México",2022-11-12 17:55:44 UTC,Luis Gerardo Ramírez Lastra,SRID=4326;POINT(-98.2285674 19.0626948),SP35169,Barcel,Delivery,Light truck or Van,no,"""Bakery (bread, cookies, cakes, etc.)"",Nonfood","https://web.fulcrumapp.com/photos/view?photos=11d0ef93-3df4-48ef-b02d-e9b9262ca291,3af68fe4-0028-4912-9ca0-3444607faf82",Street - next to the curbside,yes,no,Rear,yes,no,no,no
4,19.0627239,-98.231397,11:41,2,12:00,2,5.0,eff15823-b1f2-4e82-afb2-2195635d1406,"4717 Avenida Reforma
Heroica Puebla de Zaragoza Puebla 72160
México",2022-11-12 17:55:44 UTC,Luis Gerardo Ramírez Lastra,SRID=4326;POINT(-98.231397 19.0627239),SN89460,Barcel,Delivery,Light truck or Van,no,sillas y mesas para eventos,https://web.fulcrumapp.com/photos/view?photos=cdfd5574-3cd3-44ec-89dd-ad7c9c3a8267,Dedicated unloading area (Bay),no,no,Rear,no,no,no,no
5,19.0593853,-98.232277,11:00,2,11:26,3,5.0,be5a8b55-ad05-4c32-8f62-7e0d20061cfc,"55 Calle Aljojuca
Heroica Puebla de Zaragoza Puebla 72160
México",2022-11-12 17:32:23 UTC,Luis Gerardo Ramírez Lastra,SRID=4326;POINT(-98.232277 19.0593853),SN16796,Barcel,Delivery,Heavy duty truck,no,muebles,https://web.fulcrumapp.com/photos/view?photos=ff816ee4-5fda-4906-b523-8c483e733de0,Street - next to the curbside,no,no,Rear,no,no,no,no
6,19.0610519,-98.2314082,11:19,1,11:40,1,5.0,9e629bb4-3fad-40b6-bccb-0970d8af1d0a,"247 Avenida Reforma Sur
Heroica Puebla de Zaragoza Puebla 72160
México",2022-11-12 17:25:22 UTC,Luis Gerardo Ramírez Lastra,SRID=4326;POINT(-98.2314082 19.0610519),SN24486,Agua inmaculada,Sales & delivery,Automobile,no,"""Non-alcoholic beverages (water, soda, etc.)""","https://web.fulcrumapp.com/photos/view?photos=62b31e4c-55c1-4dfe-b1d2-5ae973923fc4,59baef3b-eeec-4e24-8848-95e17595ea30",Street - next to the curbside,no,no,Rear,no,no,no,no
7,19.057338,-98.2243023,09:30,3,11:20,2,5.0,8fdc5c5d-9113-4ca1-bb8a-a53b6dc1a65a,"3133 Tetela
Heroica Puebla de Zaragoza Puebla 72160
México",2022-11-12 17:01:03 UTC,Luis Gerardo Ramírez Lastra,SRID=4326;POINT(-98.2243023 19.057338),RR6807A,Lala,Delivery,Heavy duty truck,yes,"""Dairy (milk, cheese, etc.)""",https://web.fulcrumapp.com/photos/view?photos=3af1d0b8-3604-48a8-a749-31b717f7a891,Dedicated unloading area (Bay),no,no,Rear,no,no,no,no
8,19.057425,-98.2241354,10:40,2,10:55,2,5.0,94dd77e9-0bf9-483c-983f-df71c4b9f45a,"3319 Avenida Reforma Sur
Heroica Puebla de Zaragoza Puebla 72160
México",2022-11-12 17:01:02 UTC,Luis Gerardo Ramírez Lastra,SRID=4326;POINT(-98.2241354 19.057425),XB0704A,Pilgrim,Delivery,Heavy duty truck,yes,"""Dairy (milk, cheese, etc.)""",https://web.fulcrumapp.com/photos/view?photos=11ced2c2-4230-4149-ad64-adc212b4ed39,Street - next to the curbside,no,no,Rear,no,no,no,no
9,19.0531093,-98.2297262,10:37,3,11:00,2,5.0,cda7b134-7827-4830-9337-53f46be4f8b4,"152 Calle Tehuacán Sur
Heroica Puebla de Zaragoza Puebla 72160
Mexico",2022-11-12 16:56:51 UTC,Juan Carlos Bejarano Moreno,SRID=4326;POINT(-98.2297262 19.0531093),XA 1445 A,Coca colá ,Delivery,Light truck or Van,no,"""Non-alcoholic beverages (water, soda, etc.)""","https://web.fulcrumapp.com/photos/view?photos=a9e45d4d-683f-4967-8210-2a8c7dfb6452,50130c64-df8e-4eab-a2ba-0ee946c308e6",Street - next to the curbside,no,no,Side,no,no,no,no
